Overledene-Voornaam,Aantal
Aab,9
Aachje,12
Aachjen,1
Aachtje,3
Aadriana,1
Aaerdt,1
Aaert,1
Aaffien,1
Aaffiena,1
Aafien,1
Aafje,46
Aafjen,3
Aafjeta,2
Aafke,19
Aafken,2
Aafki,1
Aaftje,1
Aage,1
Aaghje,2
Aaghjen,1
Aaghtje,1
Aaghtjen,1
Aagie,7
Aagije,3
Aagjaan,1
Aagje,342
Aagjen,2
Aagt,3
Aagtge,1
Aagtie,2
Aagtje,82
Aagtjen,4
Aaiken,1
Aaken,1
Aal,12
Aalardus,1
Aalbart,1
Aalbartus,2
Aalberd,1
Aalberdien,2
Aalberdiena,1
Aalberdina,6
Aalbert,169
Aalberth,2
Aalbertij,1
Aalbertijna,1
Aalbertina,2
Aalbertine,1
Aalbertje,2
Aalberts,1
Aalbertus,53
Aalbetje,1
Aalbrecht,4
Aalbregt,8
Aaldert,32
Aaldertje,2
Aaldrik,1
Aale,11
Aalegonda,5
Aaleke,1
Aalen,3
Aalgen,1
Aalje,2
Aaljen,1
Aalke,11
Aalken,2
Aalle,2
Aallegonda,2
Aallen,1
Aalt,7
Aaltgen,2
Aaltie,39
Aaltien,9
Aaltiena,1
Aaltije,1
Aaltijen,2
Aaltina,1
Aaltje,878
Aaltjen,49
Aaltjes,1
Aamke,1
Aan,1
Aana,2
Aanaa,1
AAndreas,1
Aanemarie,1
Aanke,1
Aanna,3
Aannamarie,1
Aanne,1
Aanthoni,1
Aantie,1
Aantje,40
Aantjen,2
Aantonia,2
Aantonie,1
Aantony,1
Aar,1
Aard,211
Aardien,7
Aardin,2
Aardina,15
Aardje,3
Aardt,46
Aardtje,1
Aarean,1
Aareke,1
Aarendina,1
Aarent,2
Aari,1
Aariaantie,1
Aariaantje,2
Aariaen,1
Aariantje,1
Aarianus,1
Aarie,4
Aarieke,2
Aarien,4
Aarij,1
Aarije,3
Aarike,1
Aarjaan,3
Aarjaantie,3
Aarjaantje,7
Aarjaen,1
Aarjaentje,5
Aarke,7
Aarnoldus,7
Aarnoud,5
Aarnoudina,1
Aarnoult,1
Aarnout,20
Aarnouth,1
Aarnt,1
Aaron,12
AŠron,4
Aarsken,1
Aart,1749
Aartdina,4
Aartie,10
Aartis,1
Aartje,348
Aartjen,7
Aaryaan,1
Aasje,1
Aatgie?,1
Aatje,1
Aatoni,1
Aatonie,1
Ab,1
Abba,3
Abbertus,1
Abbing,2
Abdallah,1
Abdeas,1
Abdia,2
Abdias,1
Abe,4
Abel,211
Abeldina,1
Abelia,8
Abelis,2
Abell,2
Abeltje,2
Abelus,8
Aberaham,2
Aberahami,1
Aberam,2
Aberandina,1
Aberdina,1
Aberham,5
Aberta,1
Abertus,4
Abiegael,1
Abiegel,1
Abiga,1
Abigael,16
Abiga‘l,1
Abigail,24
Abigel,4
Abijgael,1
Abntonius,1
Abr,1
Abra,2
Abraam,2
Abraamus,2
Abracham,1
Abraem,1
Abrahaem,1
Abraham,2555
Abrahama,1
Abrahami,2
Abrahamina,8
Abrahammus,1
Abrahams,1
Abrahamus,124
Abrahan,1
Abrahe,1
Abrahma,1
Abrahmus,1
Abram,154
Abramham,1
Abramina,8
Abrham,1
Absolom,1
Absolon,1
Abtonia,1
Abtonius,1
Acca,1
Achien,1
Achilius,1
Achille,2
Achilles,5
Achje,1
Achjen,1
Acht,1
Achtien,3
Achtje,3
Achtjen,1
Achtken,2
Ad,102
Ada,26
Adaem,4
Adalbert,1
Adalberta,3
Adalberth,1
Adalbertus,9
Adalia,1
Adam,2349
Adama,2
Adames,2
Adami,31
Adamina,28
Adammina,1
Adammus,1
Adams,1
Adamus,586
Adan,1
Adanus,1
Adaueta,1
Adaus,1
Add,1
Addewijn,1
Addriaan,1
Ade,1
Adeadatus,1
Adegondis,3
Adegundis,2
Adel,4
Adela,7
Adelaida,11
Adela•da,4
Adelaide,29
Adela•de,5
Adelard,1
Adelbert,3
Adelberta,10
Adelberth,1
Adelbertus,77
Adele,26
AdŽle,4
Adle,24
Adeleida,20
Adeleide,2
Adeleidis,6
Adeleijsis,1
Adelgonda,3
Adelgonde,1
Adelgunda,3
Adelgunde,1
Adelgundis,2
Adelheid,16
Adelheida,2
Adelheide,6
Adelheidis,31
Adelheijd,1
Adelheijdis,2
Adelheit,3
Adelheydes,1
Adelheydis,4
Adelia,8
Adeliade,1
Adelida,2
Adelijda,6
Adelijde,1
Adelijna,1
Adelin,1
Adelina,18
Adeline,10
Adella,1
Adellart,1
Adelle,2
Adelma,1
Adelmo,1
Adelphina,2
Adelyde,2
Adem,1
Adeodatus,3
Aderiaan,8
Aderiaantje,2
Aderiaanus,1
Aderiaen,102
Aderiaentie,1
Aderiaentje,42
Aderiaenz,1
Aderian,2
Aderiana,7
Aderianis,1
Aderijaen,2
Aderijanije,1
Aderjaen,43
Aderjaentie,1
Aderjaentje,2
Aderjana,48
Aderjanus,23
Adeta,1
Adfrianus,1
AdhŽmoir,1
Adhriana,19
Adhrianus,29
Adia,1
Adiaantje,1
Adiaentje,1
Adiana,8
Adianus,7
Adienne,1
Adila,2
Adile,1
Adilia,102
Adilio,2
Adilius,1
Adina,6
Adine,1
Adiraentien,1
Adiranus,1
Adirna,1
Adjutta,1
Adleille,1
Adleta,1
Adn,3
Ado,1
Adoelfes,2
Adolf,167
Adolff,13
Adolfhina,1
Adolfina,7
Adolfine,2
Adolfius,1
Adolfphus,1
Adolft,1
Adolfus,4
Adolhp,1
Adolp,3
Adolph,121
Adolphe,13
Adolphina,31
Adolphine,7
Adolphus,113
Adolpus,1
Adolsine,1
Adolvus,1
Adorate,2
Adr,36
Adraan,1
Adraantje,1
Adraantjen,1
Adraina,1
Adrainus,1
Adrana,2
Adranus,8
Adrea,2
Adreada,1
Adrean,1
Adreana,4
Adreanus,6
Adreas,24
Adree,2
Adreianus,2
Adreijaen,1
Adreuaan,1
Adri,16
Adria,4
Adriaa,2
Adriaaan,1
Adriaaentie,1
Adriaan,21559
,3591
Adriaana,87
Adriaane,2
Adriaanis,3
Adriaanje,4
Adriaanm,1
Adriaanna,5
Adriaannus,1
Adriaans,8
Adriaanse,2
Adriaantge,4
Adriaantgen,2
Adriaantie,207
Adriaantien,3
Adriaantij,1
Adriaantije,5
Adriaantijen,1
Adriaantja,1
Adriaantje,1618
Adriaantjen,53
Adriaantjes,1
Adriaantken,1
Adriaanus,47
Adriaeken,1
Adriaem,1
Adriaen,3043
Adriaena,14
Adriaene,2
Adriaengen,1
Adriaenje,2
Adriaenke,9
Adriaenken,76
Adriaenne,2
Adriaennus,1
Adriaens,3
Adriaenschen,1
Adriaensen,1
Adriaenske,1
Adriaente,1
Adriaenten,12
Adriaentge,9
Adriaentgen,48
Adriaentghen,1
Adriaentghien,2
Adriaentgie,3
Adriaenti,2
Adriaentie,108
Adriaentien,108
Adriaentije,4
Adriaentijen,1
Adriaentje,524
Adriaentjen,130
Adriaentjes,1
Adriaentke,3
Adriaentken,40
Adriaentyen,1
Adriaenus,17
Adriaenyje,1
Adriaeten,1
Adriaetien,1
Adriajanes,1
Adriajna,1
Adrian,124
Adrian:,1
Adriana,72169
Adrianaa,1
Adrianan,1
Adriananus,1
Adrianau,1
Adrianaus,5
Adriane,31
Adrianen,3
Adrianes,7
Adriang,1
Adriani,903
Adriania,1
Adrianie,1
Adrianii,1
Adrianij,3
Adrianije,1
Adrianis,62
Adrianius,2
Adrianjus,4
Adriann,1
Adrianna,61
Adrianne,5
Adriannes,1
Adriannus,1
Adriano,2
Adrians,2
Adrianse,1
Adriantge,1
Adriantie,19
Adriantien,2
Adriantije,1
Adriantje,18
Adriantjen,2
Adriantye,3
Adrianu,1
Adrianua,5
Adrianuis,2
Adrianum,1
Adrianus,78091
Adrianusn,1
Adrianuszn,1
Adriany,4
Adrie,4
Adrieaan,41
Adrieaanis,1
Adrieaantie,3
Adrieaantje,15
Adrieaen,63
Adrieaenten,7
Adrieaentje,8
Adriean,4
Adrieana,20
Adrieanie,1
Adrieantie,2
Adrieanus,17
Adriejaan,8
Adriejaantje,1
Adriejaen,2
Adriejana,1
Adriejanis,1
Adriella,1
Adrien,720
AdriŽn,1
Adrin,2
Adri‘n,12
Adriena,6
Adrienanus,1
Adriene,26
AdriŽne,1
Adrine,4
Adrienna,2
Adrienne,451
Adrinne,2
Adri‘nne,1
Adriennes,1
Adries,15
Adrieten,2
Adrietta,2
Adriette,1
Adriijan,1
Adriijntje,1
Adrija,2
Adrijaan,26
Adrijaante,1
Adrijaantie,6
Adrijaantijen,1
Adrijaantje,1
Adrijaen,38
Adrijaeneken,1
Adrijaenje,1
Adrijaenken,1
Adrijaentie,2
Adrijaentje,1
Adrijaentjen,1
Adrijana,50
Adrijaneken,2
Adrijanken,1
Adrijanna,1
Adrijanus,71
Adrikus,2
Adrina,24
Adrinana,4
Adrinane,1
Adrinanus,9
Adrinaus,4
Adrine,1
Adrinus,4
Adriuana,1
Adroanus,1
Adrtiaan,1
Adrtiana,2
Adruanus,1
Adrueb,1
Adryanus,1
Adtriana,2
Adulpha,1
Adulphus,6
Adxriana,1
Adyde,1
Aeb,3
Aebel,1
Aebelardis,2
Aechie,4
Aechien,3
Aechjen,6
Aecht,2
Aechten,1
Aechtgen,6
Aechtie,3
Aechtien,4
Aechtje,11
Aechtjen,7
Aechtken,4
Aedaem,1
Aede,1
Aedegundis,2
Aedilius,1
Aedriaan,1
Aedriaen,1
Aefje,3
Aefke,1
Aefken,4
Aeftije,1
Aegata,1
Aegdua,1
Aegedius,1
Aeghie,1
Aeghje,4
Aeghtgen,2
Aeghtie,2
Aeghtien,2
Aeghtijen,1
Aeghtje,7
Aeghtjen,2
Aeghtjer,1
Aegidia,38
Aegidius,971
Aegidus,2
Aegien,1
Aegijdius,19
Aegje,4
Aegtechen,1
Aegtgen,1
Aegthe,1
Aegtie,4
Aegtien,3
Aegtije,1
Aegtje,9
Aegtjen,2
Aeguidius,1
Aegunda,1
Aegydius,1
Aeie,1
Aeij,1
Aeijdis,1
Aeijleijdis,1
Aeijlke,1
Aeijltjen,1
Aeilke,1
Aeilko,1
Aeken,1
Ael,4
Aelaerd,1
Aelbecht,1
Aelberdina,4
Aelbers,2
Aelbert,107
Aelberta,1
Aelbertgen,1
Aelberthus,1
Aelberti,1
Aelbertien,1
Aelbertina,2
Aelberts,1
Aelbertus,65
Aelbrecht,29
Aelbrechta,1
Aelbrechtie,1
Aelbreght,1
Aelchen,1
Aeldegonda,1
Aeldegundis,3
Aeldert,1
Aele,4
Aeleadis,1
Aelecken,1
Aeledis,2
Aelegonda,1
Aelegunda,3
Aelegundis,2
Aeleidis,1
Aeleijdis,3
Aeleke,6
Aeleken,3
Aelen,13
Aelena,1
Aelet,2
Aeletta,1
Aelfert,1
Aelgen,1
Aeliana,1
Aelias,1
Aelijdis,1
Aelijke,1
Aelizabeth,5
Aelje,3
Aeljen,3
Aelke,17
Aelken,196
Aelle,2
Aelleff,1
Aellegonda,2
Aelleke,1
Aelleken,1
Aellen,3
Aellitken,2
Aelt,1
Aelten,3
Aeltge,12
Aeltgen,63
Aeltgien,2
Aelthen,1
Aeltie,42
Aeltien,74
Aeltij,1
Aeltije,4
Aeltijen,6
Aeltje,143
Aeltjen,158
Aeltken,8
Aeltrix,1
Aeltye,1
Aeltyen,3
Aeluida,7
Aeluijda,1
Aeluijnes,1
Aelwijgis,1
Aemelia,1
Aemijkas,1
Aemilia,5
Aemilianus,3
Aemilius,29
Aen,1
Aendricus,1
Aendries,3
Aengelie,1
Aengenees,1
Aenke,4
Aenken,19
Aenna,2
Aenneken,3
Aenoldus,2
Aenraet,1
Aentenet,2
Aentge,1
Aentgen,12
Aentien,1
Aentje,20
Aentjen,7
Aentojen,2
Aentoni,5
Aentonie,4
Aentonij,14
Aenttgen,1
Aer--?,1
Aerbert,1
Aercke,1
Aercken,1
Aerd,9
Aerden,1
Aerdie,1
Aerdien,1
Aerdijna,1
Aerdijntje,1
Aerdina,3
Aerdje,1
Aerdnadyn,1
Aerdnoud,3
Aerdnoudt,1
Aerdnout,2
Aerdout,1
Aerdt,61
Aerdtjen,2
Aereiaen,1
Aerendt,1
Aeriaen,1
Aeriaentien,4
Aeriaentje,3
Aeriante,1
Aerianus,1
Aerien,2
Aerijaen,2
Aerijaenijen,1
Aerijaentie,3
Aerijaentien,1
Aeriken,1
Aeris,1
Aerjaantje,1
Aerjaen,2
Aerjaent,1
Aerjaentje,1
Aerjaentken,1
Aerjan,1
Aerjantje,6
Aerke,1
Aerken,4
Aernauwt,1
Aerneldus,1
Aernhout,1
Aernoelde,1
Aernol,1
Aernolda,2
Aernoldes,1
Aernoldie,1
Aernoldina,2
Aernoldt,1
Aernoldus,20
Aernolt,1
Aernot,1
Aernoud,2
Aernoudina,5
Aernoudt,9
Aernout,59
Aernoutdinus,1
Aernouts,1
Aernouwt,1
Aernt,2
Aerres,1
Aerrike,2
Aerse,2
Aersen,2
Aert,1187
Aertdina,1
Aerte,1
Aerten,2
Aertgen,7
Aertie,10
Aertien,11
Aertije,2
Aertje,38
Aertjen,8
Aertjens,1
Aertke,1
Aertken,8
Aertnolda,3
Aertnoldus,20
Aertnout,2
Aerts,1
Aertsen,2
Aertssen,1
Aertt,2
Aertus,1
Aester,1
Aesther,6
Aetgen,1
Aetje,1
Aetlgien,1
Aeva,3
Afie,2
Afien,2
Afika,1
Afina,1
Afine,1
Afke,2
Afra,10
Afranika,2
Afred,1
Ag,2
Agaet,1
Agapitus,1
Agardus,2
Agata,79
Agates,1
Agatha,919
Agathe,11
AgathŽ,1
Agatho,1
Agathus,7
Age,4
Agenees,12
Agenes,10
Agenieta,1
Agenietta,2
Agenis,1
Agenita,4
Agenius,1
Agens,3
Ages,1
Ageta,3
Agetha,1
Agethe,1
Aggata,1
Aggenieta,1
Aggeus,1
Aghata,4
Aghatha,3
Aghtien,1
Aghtje,2
Agia,1
Agidia,1
Agidius,32
Agidus,1
Agie,2
Agijdius,1
Agilias,1
Agitha,2
Agje,5
Aglae,1
AglaŽ,1
Agla‘,1
Agnas,2
Agnata,1
Agnees,124
Agneese,1
Agneeske,3
Agneesken,15
Agneet,21
Agneeta,2
Agneete,1
Agneetie,1
Agneetje,1
Agneetjen,1
Agneneeten,1
Agners,1
Agnes,4129
Agns,2
Agnesa,2
Agnesia,7
Agneske,1
Agnesken,1
Agnestinus,1
Agnet,1
Agneta,152
Agnetam,1
Agnete,1
Agnetem,2
Agnetes,1
Agnetha,17
Agnetia,3
Agnetis,16
Agnetta,2
Agnetus,1
Agneus,2
Agnezia,2
Agnia,1
Agnies,2
Agnieske,2
Agniet,44
Agnieta,41
Agniete,5
Agnietgen,3
Agnietha,1
Agnietie,3
Agnietien,1
Agnietje,12
Agnietjen,3
Agnietken,2
Agnijs,1
Agnijsa,1
Agnina,1
Agnis,6
Agnita,52
Agnitas,1
Agnitha,2
Agnitius,1
Agnitus,1
Agnizia,1
Agnot,1
Agnus,4
Agretha,1
Agt,2
Agtje,2
Agustijn,1
Agustina,1
Agustinus,2
Ahasia,1
Ahassuerus,3
Ahasueros,1
Ahasuerus,8
Ahasveros,1
Ahazucus,1
Ahazuerus,4
Ahme,1
Ahthonius,1
Ahtonius,1
Aida,1
Aidelijda,1
Aigijdius,1
Aigiline,1
Aijmerica,5
Aijmericus,17
Aijmerij,1
Aijmert,1
Aijmon,2
Aijolt,1
Aike,2
Ailda,1
Aimable,5
Aime,1
AimŽ,3
AimŽe,1
Aimericus,1
Air,1
Ajantje,1
Ajdriaantje,1
Akbertus,2
Akexander,1
Akida,1
Akke,17
Akoysius,1
Akphonsus,2
Alabina,1
Alabinus,2
Alada,1
Alaeijda,1
Alaeijdis,1
Alaert,6
Alagonda,73
Alagonde,6
Alagondis,3
Alagunda,10
Alagundis,1
Alaida,2
Alaidis,8
Alaijda,6
Alaijdis,4
Alan,1
Alard,1
Alarda,2
Alardina,1
Alardis,2
Alardo,1
Alardt,1
Alardus,163
Alart,12
Alatienus,1
Alatinus,1
Albardina,1
Albartha,1
Albartje,1
Albartus,17
Alberdien,14
Alberdiena,25
Alberdijna,1
Alberdin,3
Alberdina,774
Alberdine,13
Alberdinna,2
Alberdinus,2
Alberdt,1
Alberdus,1
Alberico,1
Albericus,2
Albert,1034
Alberta,796
Albertdien,1
Alberte,2
Albertes,1
Alberth,1
Albertha,64
Alberthina,2
Alberti,5
Albertien,4
Albertijen,1
Albertijn,1
Albertijna,2
Albertijntgen,1
Albertina,236
Albertine,30
Albertinna,1
Albertinus,2
Albertius,2
Albertje,9
Alberto,1
Albertum,4
Albertus,6196
Albertus-Antonij,1
Albethina,1
Albetta,1
Albin,1
Albina,4
Albine,1
Albinus,4
Albracht,1
Albrecht,14
Albregdina,1
Albreght,1
Albregt,2
Albrus,1
Alcides,1
Alcijda,1
Alcken,3
Alda,7
Aldagonda,6
Aldagondis,2
Aldagunda,4
Aldagundis,3
Aldeg,1
Aldegendis,1
Aldegidus,1
Aldeginda,1
Aldegodis,1
Aldegona,2
Aldegond,1
Aldegonda,1404
Aldegondam,1
Aldegonde,132
Aldegondes,24
Aldegondis,1882
Aldegondus,2
Aldegonis,3
Aldegudis,1
Aldegund,1
Aldegunda,276
Aldegundal,1
Aldegundam,5
Aldegunde,55
Aldegundes,20
Aldegundis,2412
Aldegundus,2
Aldegundy,1
Aldelbertus,1
Aldelijda,1
Aldengonda,1
Aldengundis,1
Alderd,2
Aldert,16
Aldgundis,1
Aldia,1
Aldigonda,1
Aldigondi,1
Aldigundis,2
Aldigundus,1
Aldina,2
Aldogondis,1
Aldolphus,2
Aldrich,1
Aldundis,1
Ale,39
Alebediana,1
Alebetje,1
Alebina,3
Alecxander,2
Aleda,5
Aledina,1
Aledis,9
Aledonda,1
Aledt,1
Aledundis,1
Aleen,1
Aleeta,1
Aleff,2
Alefke,1
Alegond,3
Alegonda,763
Alegonde,119
Alegonden,3
Alegondes,2
Alegondi,1
Alegondis,272
Alegondo,1
Alegonds,1
Alegonis,1
Alegont,1
Alegounus,2
Alegunda,297
Alegunde,14
Alegundes,3
Alegundiis,1
Alegundis,382
Alegundis-Maria,1
Alegundus,3
Aleid,2
Aleida,317
Aleide,6
Aleides,1
Aleidina,4
Aleidis,470
Aleidius,1
Aleijda,170
Aleijde,8
Aleijdes,7
Aleijdia,1
Aleijdijs,1
Aleijdis,1132
Aleijdt,11
Aleijdtken,1
Aleijdus,3
Aleijidis,1
Aleijltien,1
Aleijondis,1
Aleijs,1
Aleijt,21
Aleijtien,1
Aleijtken,3
Alejdis,1
Aleke,20
Aleken,31
Alelonda,1
Alemen,1
Alemi,2
Alemie,1
Alen,13
Alena,7
AlŽnie,1
Alenta,1
Alepus,1
Alerd,1
Alerdina,1
Alerdt,1
Alert,10
Alerta,1
Alertt,1
Alet,17
Aleta,19
Alete,1
Aleth,6
Aletha,10
Alethe,1
Aletie,1
Aletinus,1
Aletje,3
Alett,1
Aletta,384
Alette,14
Alettha,4
Alettinius,1
Alettinus,37
Alettje,1
Alettus,1
Aleuis,1
Alewein,1
Alewijn,9
Alewinus,1
Alewyn,1
Alex,7
Alexa,1
Alexanandri,1
Alexander,1118
Alexandera,2
Alexanderina,1
Alexandra,10
Alexandre,26
Alexandri,14
Alexandrijna,1
Alexandrina,57
Alexandrine,14
Alexandrinus,1
Alexandro,1
Alexandrus,2
Alexendra,1
Alexenna,1
Alexia,6
Alexiana,1
Alexij,1
Alexine,1
Alexis,15
Alexius,33
Alexsander,2
Alexus,2
Aley,1
Aleycken,1
Aleyda,49
Aleyde,7
Aleydis,275
Alezander,1
Alfeo,1
Alfoncius,1
Alfons,47
Alfonse,1
Alfonsius,7
Alfonsus,20
Alfonzo,1
Alfred,49
Alfridus,2
Alfried,1
Algidius,1
Algnetta,1
Algond,1
Algonda,41
Algonde,5
Algondis,7
Algondo,1
Algondus,3
Alguida,1
Algunda,4
Algunde,1
Algundis,7
Alheidis,1
Alheijda,1
Ali,6
Alias,6
Aliata,1
Alica,1
Alice,27
Alici,1
Alicia,3
Alicka,1
Alicke,1
Alicken,3
Alida,2043
Alide,2
Alides,2
Alidfa,1
Alidia,1
Alidis,12
Alidius,2
Alidt,4
Alidtgen,7
Alidus,2
Alie,3
Alieda,18
Aligna,1
Aligonda,4
Aligondis,1
Aligunda,4
Aligundis,2
Alijda,124
Alijdam,1
Alijde,1
Alijdes,2
Alijdis,46
Alijdt,4
Alijken,1
Alijssa,1
Aliken,4
Alimpe,1
Alina,2
Aline,9
Alinus,1
Alisa,2
Alisabete,1
Alise,1
Alisse,1
Alit,16
Alita,1
Alitgen,1
Alith,1
Alitha,1
Alitie,3
Alitien,6
Alitje,9
Alitjen,6
Alitken,4
Alitta,3
Alittien,1
Alixander,5
Aliza,1
Alke,4
Alken,12
Allaert,1
Allagenda,1
Allagonda,72
Allagonde,6
Allagondis,2
Allan,1
Allard,2
Allardina,2
Allardt,1
Allardus,6
Allart,5
Allbert,1
Allebartus,2
Alleberta,1
Allebertus,9
Alleda,1
Alleena,1
Allegaen,1
Allegomda,1
Allegona,5
Allegond,2
Allegonda,5513
Allegondˆ,1
Allegondaa,1
Allegonde,180
Allegonden,5
Allegondina,1
Allegondis,104
Allegonds,1
Allegondus,7
Allegone,1
Allegontus,1
Allegunda,91
Allegundam,1
Allegunde,4
Allegundis,72
Allegundus,1
Alleijda,1
Alleijdis,3
Alleijnda,1
Alleke,2
Alleken,4
Alleks,1
Alleluia,1
Allemi,1
Allen,2
Allendona,1
Alleonda,1
Allergonda,1
Allert,5
Allethea,1
Alletinus,1
Alletis,1
Alletta,22
Allette,2
Allettinus,1
Allexander,16
Allexanders,1
Allexius,1
Allexsander,2
Allgegonda,2
Allgeonda,1
Allgonda,3
Allida,2
Allieda,1
Allijda,1
Allijdis,1
Alllegonda,1
Allogonda,1
Alloijsius,3
Alloisa,2
Alloisia,1
Alloisius,2
Allouisia,2
Allouissius,1
Allrmedij,1
Alma,8
Almeelia,1
Almina,1
Alof,2
Alofgangus,1
Aloijisia,1
Aloijisius,4
Aloijs,4
Aloijsa,18
Aloijsia,119
Aloijsius,654
Aloijsuis,1
Aloijsus,2
Aloijzia,2
Aloijzius,3
Alois,7
Aloisa,10
Alo•sa,4
Aloisia,15
Alo•sia,4
Aloisiius,1
Aloisius,189
Alo•sius,21
Aloius,1
Aloiusius,2
Aloizius,1
Alojisius,1
Alon,1
Alongonda,1
Aloogonda,1
Alotta,1
Alouijsia,1
Alouijsius,5
Alouijza,1
Alouis,9
Alouisa,32
Alouisia,21
Alouisius,150
Alouissius,1
Alouisza,1
Alouiza,1
Alouizia,1
Alousius,1
Alouwisa,2
Alouwisius,2
Alouysia,1
Alouysius,2
Alowies,1
Alowina,2
Alowinus,1
Alowisa,2
Alowisia,1
Alowisius,6
Aloysia,8
Aloysius,83
Alpfonsus,1
Alpheda,2
Alphensius,1
Alphona,1
Alphoncius,2
Alphondus,1
Alphonie,1
Alphonnse,1
Alphonnus,1
Alphons,224
Alphonsa,31
Alphonse,105
Alphonsen,2
Alphonses,1
Alphonsia,13
Alphonsina,6
Alphonsine,5
Alphonsis,3
Alphonsius,201
Alphonske,1
Alphonsus,1312
Alphonus,7
Alphosius,1
Alphosus,1
Alponsius,1
Alponsus,3
Alsbena,1
Alsied,1
Alstje,1
Alt,1
Alten,1
Altera,1
Althueris,1
Altie,13
Altien,3
Altje,7
Altjen,9
Alucia,1
Aluida,1
Aluijdis,1
Aluindis,1
Aluis,1
Alumen,3
Alumes,2
Aluthen,1
Alutta,1
Aluwisius,1
Alvaraij,1
Alvina,1
Alvonsius,1
Alwin,1
Alwina,1
Alwine,2
Alxander,2
Alyda,5
Alyde,1
Alyden-Catharyn,1
Alydis,11
Alydt,1
Alyssgen,1
Amadeus,3
Amaletta,1
Amalia,78
Amalie,3
Amand,5
Amanda,10
Amandes,1
Amandina,2
Amandus,89
Amant,4
Amanuel,2
Amaranta,2
Amarante,3
Amarantha,1
Amarence,1
Amarencia,1
Amarens,9
Amarensia,5
Amarensica,1
Amarenske,6
Amarensken,1
Amarent,2
Amarentia,40
Amarents,1
Amarijns,1
Amarincia,1
Amarinis,4
Amarinus,8
Amatus,1
Amber,1
Ambertus,2
Ambregt,1
Ambrensiana,1
Ambroise,10
Ambroos,2
Ambroses,1
Ambrosia,3
Ambrosieus,1
Ambrosina,1
Ambrosis,3
Ambrosius,598
Ambrosus,4
Ambrozius,2
Amcelmus,1
Amcem,1
Amdrisius,1
Amel,1
Amelberga,7
Amelbergis,2
Ameli,1
Amelia,201
Amelie,11
AmŽlie,5
Amelij,1
Amelija,1
Amelina,1
Amelis,1
Amelius,25
Amelken,2
Amellia,1
Ameltien,1
Ameltje,2
Ameltken,1
Ameraentiana,1
Amerengske,1
Amerens,35
Amerense,1
Amerensia,3
Amerensiana,1
Amerenske,4
Amerensken,4
Amerenstje,1
Amerenti,1
Amerentia,45
Amerentiana,13
Amerentie,1
Amereus,1
Americus,1
Amerijntsken,1
Ami,1
Amicken,1
Amieken,1
Amiele,1
Amijs,7
Amilia,11
Amilius,3
Amina,1
Amisius,8
Amke,1
Amma,1
Ammandus,1
Ammant,1
Ammarante,1
Ammarens,3
Ammarenske,1
Ammarenta,1
Ammarentia,3
Ammarinus,2
Ammeneus,1
Ammerant,1
Ammeranta,1
Ammerante,1
Ammerenia,1
Ammerens,36
Ammerensia,1
Ammerensje,1
Ammerenske,3
Ammerensken,1
Ammerenssen,1
Ammerent,1
Ammerenta,1
Ammerentia,15
Ammerentsje,1
Ammereusken,1
Ammereynes,1
Ammerinus,1
Ammirael,1
Ammy,1
Amnna,1
Amoes,1
Amondus,1
Amorentiana,2
Amos,2
Amourij,1
Amse,1
Amselme,1
Amsem,1
Amsoms,1
Amtonius,1
Amunda,1
An,73
An(t)onij,1
Ana,16
Anaatje,1
Anacht,1
Anacleta,1
Ana•s,1
Ana•se,1
Anamaria,3
Anamie,1
Anane,1
Ananias,6
Anastasia,11
Anastasius,5
Anastatia,3
Anastatius,2
Anastazia,1
Anastius,1
Anatje,1
Anatolie,1
Anbroses,1
Anbrosieus,1
Anbrosius,1
