ID,INHOUD1,DATERING
11331342,"Testament van Dirck zoon Stans Stans Molenmaeckers, verwekt bij Cathelijn dochter  van Dirck Huijberts jongeman, oud 18 jaar woonachtig St. Michielsgestel",31-03-1669
11357238,"Gerit Huijbert van den Boogaart te Erp, machtigt bij deze Johannes Gijsbert Maas schepen van Lieshout, om in zijn naam te Lieshout te transporteren en over te geven een onverdeelde vijfde part die hij met zijn broeders en zusters in eigendom bezit. Bestaande uit, een huisje, hof en een perceel land te Lieshout in de Lankesstraat ez. Johannes Spoordonk az. weduwe Dielis van den Broek. Dit ten behoeven van zijn broer Johannes Huijbert van den Boogaart wonende te Lieshout voor een bedrag van 28 gulden.",07-06-1795
11393501,"Marten Cornelissen en Eerke Jacobs echtelieden hebben verkocht aan Eghbert Franssen en Hendrina Tijssen echtelieden een huis, bakoven en vier lopen bouw- en driesland onder Mill, grenzend oost, zuid en noord de gemeente en west Hendrik Croeff. En nog vier lopen bouwland onder Mill, grenzend oost en west de gemeene heide, zuid Hendrik Croeff en noord de transportanten. De ontvanger van de 40e penning is W. Torsinck. Gepasseerd op 20 januari 1752 te Mill ten overstaan van Laurens Verstraaten schout en Peter van den Heuvel schepenen.",20-01-1752
11394798,"Willem Willems Pardoul, Johannes Remmen, Bernard Jeurgens en Peeter Zeegers; allen als voogden van de voor- en nakinderen van wijlen Henricus van Haren, verkopen aan Johannes Remmen en zijn vrouw, circa 2 kleine morgen wei- en bouwland genaamd Den Polder, grenzend aan Arnold Vogelsank en de gemeene beek, inclusief een hek met weg welke hangt bij het huis van Henr. Gerrits en de weduwe Jaspar Christiaans.",[1798]
11521411,"Andries Jan Witlokx als man van Cornelia Janze van de Ven, wonend te Cromvoirt verkoopt aan Adriaan Maas wonend te Cromvoirt een perceel teulland genaamd Loomansakker gelegen aan de Varkenstraat te Cromvoirt. Belenders: de verkoper, Hendrik van de Staek en Cornelis van Aalst. De transportant in bezit gekomen door deling met Johannes van de Ven. Zie Deling Vught 23-08-1766.",07-12-1769
11523970,"Vermelde personen: Cornelis van der Bruggen te Vught (Crediteur).",10-12-1796
11525928,"Codicil van Peter Damen en zijn vrouw Lijsken Aert Claessen, inwoners parochie Gemonde onder St. Michielsgestel. Ze hebben eerder voor notaris Jan van de Heuvel een testament gemaakt dat ze alsnog goedkeuren maar maken nu een aanvulling. Peter is voogd geweest over de kinderen van zijn broer Gerit Damen waarmee hij een afrekening heeft gemaakt, maar misschien daarvan nog wel iets schuldig is, maar omdat Gerit hem zelf ook geld schuldig was, wil hij niet dat de kinderen verder nog iets opeisen en sluit hen verder van zijn nalatenschap uit met 6 gulden eens en hun portie gaat naar zijn andere erfgenamen. Vermaakt zijn broer Jan Damen Peters als prelegaat een paard en het getuig. Eerder heeft de testateur als zijn erfgename de kinderen van zijn broer Willem benoemd, de kinderen van zijn broer Gerit, samen voor twee staken en zijn broer Jan voor een staak. Thans krijgt zijn broer Jan vooraf aan de deling de helft van alle vaste bezit dat ze samen hebben gekocht terwijl ze samenwoonden. Actum parochie Gemonde",17-07-1673
11548440,"Janetje Loensma g.m. Carel August Mulder (kind: Dorethea); Johanna van Pommel d.v. Gerard van Pommel en Janetje Loensma; h.m. Cathariena Christiena van Twist",19-10-1796
11550022,"De echtelieden Anthoni van Berchere en Willemken Sijbkens verklaren, dat Jan Willems van Gemert en Margriet Thomesen zijn huisvrouw een hypothecaire lening, groot 900 Car. gulden, hadden aangegaan volgens gerichtelijke obligatie op 23-06-1700. Als onderpand stelden zij de goederen hen aangekomen ingevolge magescheit d.d. 17-09-1698, tussen hen en de echtelieden Leonardus Liefkens en Johanna van Broeckum. De goederen bestaan uit huis en hofstad en aangelegen bouwkamp met verdere op en dependentien op den Beurghgraeff gelegen, met een einde grenzend aan de Beurggraeffsche Straet en met een zijde aan den Hoogen Wegh, item een stuk bouwland int Mackervelt, met een zijde naast den Mackenschen Bosch, met een einde grenzend aan den Mackenschen Wegh en met het andere einde aan de Elsenweerden gelegen, item een stuk bouwland daar tegenover gelegen genaamd de Geer grenzend aan den Mackenschen Wegh. Gerardus Verschuijren verklaart, mede namens zijn zwagers en zusters, af te zien van bepaalde rechten die hen zijn aangekomen door de huwelijkse voorwaarden die op 06-09-1662 tussen de twee eerste comparanten zijn opgericht. De comparanten verkopen nu, elk in zijn kwaliteit aan Jan Willems van Gemert en Margriet Thomesen zijn huisvrouw, de beterschap van de voornoemde erven boven de last hier voor vermeld. Het gaat om een bedrag van F.500,-.",09-12-1704
11551466,"Andrijs Jans & Aldegonda Classen e.l. dragen op aan Herme Jacobs & Sibilla Cartmans e.l. een hooi- en weiland genaamd het Schaerbroeck bij den Graeff, groot 2 morgen 77 roeden, vrij allodiaal erf. Coopspenn: 435 – 0 – 0. 40ste penning: 10 gulden 17 stuiver 8 penning, d.d. 3 mei 1734.",06-05-1734
